,Date,Lat,Lon,Hour,Day
346939,2022-11-27 22:32:15.995135+00:00,40.02078903930991,-120.9744975014318,22,27
346940,2022-11-27 22:32:18.623140+00:00,40.121030584430656,-120.8058957310088,22,27
346941,2022-11-27 22:32:21.251176+00:00,40.220993265161546,-120.63676449967394,22,27
346942,2022-11-27 22:32:23.879182+00:00,40.32067222673281,-120.4671070477087,22,27
346943,2022-11-27 22:32:26.507157+00:00,40.42006719812799,-120.29691886484598,22,27
346944,2022-11-27 22:32:29.135163+00:00,40.51917636724022,-120.12619803806258,22,27
346945,2022-11-27 22:32:31.763169+00:00,40.61799791319692,-119.95494266708747,22,27
346946,2022-11-27 22:32:34.391175+00:00,40.71653000637266,-119.78315086481594,22,27
346947,2022-11-27 22:32:37.019180+00:00,40.814770808522596,-119.61082075748311,22,27
346948,2022-11-27 22:32:39.647186+00:00,40.91271847219874,-119.43795048622589,22,27
346949,2022-11-27 22:32:42.275161+00:00,41.01037114232622,-119.26453820456493,22,27
346950,2022-11-27 22:32:44.903167+00:00,41.107726953586855,-119.09058208380043,22,27
346951,2022-11-27 22:32:47.531173+00:00,41.20478403343272,-118.91608030780726,22,27
346952,2022-11-27 22:32:50.159178+00:00,41.30154049971807,-118.74103107800381,22,27
346953,2022-11-27 22:32:52.787184+00:00,41.39799446251039,-118.56543261037578,22,27
346954,2022-11-27 22:32:55.415159+00:00,41.49414402222034,-118.38928313959852,22,27
346955,2022-11-27 22:32:58.043165+00:00,41.58998727152405,-118.21258091583701,22,27
346956,2022-11-27 22:33:00.671171+00:00,41.685522294561125,-118.03532420679888,22,27
346957,2022-11-27 22:33:03.299176+00:00,41.78074716638585,-117.85751129936922,22,27
346958,2022-11-27 22:33:05.927213+00:00,41.87566140454058,-117.67913776332624,22,27
346959,2022-11-27 22:33:08.555218+00:00,41.97026016197094,-117.50020738267237,22,27
346960,2022-11-27 22:33:11.183224+00:00,42.06454294360895,-117.32071577535545,22,27
